,meta_cat,organization,n_units,description,cost,fair_value
19,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,"852,000","2.35% due September 15, 2023","848,217","792,202"
20,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,"1,634,000","3.15% due September 15, 2023","1,637,410","1,628,446"
21,FEDERAL BONDS & GUARANTEES ,Canada Mortgage and Housing Corporation,"796,000","4.25% due February 01, 2016","831,787","844,004"
22,FEDERAL BONDS & GUARANTEES ,Canada Mortgage and Housing Corporation,"391,000","4.35% due February 01, 2017","390,288","424,002"
23,FEDERAL BONDS & GUARANTEES ,Canada Post Corporation,"241,000","4.08% due July 16, 2025","242,419","256,255"
24,FEDERAL BONDS & GUARANTEES ,Canada Post Corporation,"149,000","4.36% due July 16, 2040","149,036","162,873"
25,FEDERAL BONDS & GUARANTEES ,CBC Monetization Trust,"33,545","4.688% due May 15, 2027","33,545","36,554"
26,FEDERAL BONDS & GUARANTEES ,Export Development Canada,"593,000","4.30% due June 01, 2016","602,097","634,583"
27,FEDERAL BONDS & GUARANTEES ,Government of Canada,"5,062,000","1.00% due February 01, 2015","5,055,830","5,062,018"
28,FEDERAL BONDS & GUARANTEES ,Government of Canada,"3,550,000","1.00% due May 01, 2015","3,551,277","3,548,960"
29,FEDERAL BONDS & GUARANTEES ,Government of Canada,"3,278,000","2.50% due June 01, 2015","3,373,641","3,344,898"
30,FEDERAL BONDS & GUARANTEES ,Government of Canada,"2,576,000","4.50% due June 01, 2015","2,789,266","2,700,489"
31,FEDERAL BONDS & GUARANTEES ,Government of Canada,"405,000","11.25% due June 01, 2015","643,146","462,742"
32,FEDERAL BONDS & GUARANTEES ,Government of Canada,"5,482,000","1.50% due August 01, 2015","5,524,936","5,518,356"
33,FEDERAL BONDS & GUARANTEES ,Government of Canada,"2,325,000","1.00% due November 01, 2015","2,312,695","2,320,428"
34,FEDERAL BONDS & GUARANTEES ,Government of Canada,"5,641,000","3.00% due December 01, 2015","5,858,308","5,840,536"
35,FEDERAL BONDS & GUARANTEES ,Government of Canada,"5,100,000","1.25% due February 01, 2016","5,105,272","5,111,985"
36,FEDERAL BONDS & GUARANTEES ,Government of Canada,"4,078,000","2.00% due June 01, 2016","4,060,719","4,160,421"
37,FEDERAL BONDS & GUARANTEES ,Government of Canada,"3,138,000","4.00% due June 01, 2016","3,344,688","3,350,312"
38,FEDERAL BONDS & GUARANTEES ,Government of Canada,"3,360,000","1.00% due August 01, 2016","3,327,118","3,342,254"
39,FEDERAL BONDS & GUARANTEES ,Government of Canada,"2,331,000","2.75% due September 01, 2016","2,456,282","2,422,713"
40,FEDERAL BONDS & GUARANTEES ,Government of Canada,"1,150,000","1.50% due February 01, 2017","1,156,314","1,153,903"
41,FEDERAL BONDS & GUARANTEES ,Government of Canada,"2,682,000","1.50% due March 01, 2017","2,708,411","2,692,118"
42,FEDERAL BONDS & GUARANTEES ,Government of Canada,"3,875,000","4.00% due June 01, 2017","4,352,539","4,199,493"
43,FEDERAL BONDS & GUARANTEES ,Government of Canada,"4,231,000","1.50% due September 01, 2017","4,235,805","4,209,202"
44,FEDERAL BONDS & GUARANTEES ,Government of Canada,"3,195,000","1.25% due March 01, 2018","3,132,188","3,123,778"
45,FEDERAL BONDS & GUARANTEES ,Government of Canada,"1,258,000","4.25% due June 01, 2018","1,416,070","1,386,545"
46,FEDERAL BONDS & GUARANTEES ,Government of Canada,"2,948,000","1.25% due September 01, 2018","2,875,172","2,856,140"
47,FEDERAL BONDS & GUARANTEES ,Government of Canada,"400,000","1.75% due March 01, 2019","396,764","393,831"
48,FEDERAL BONDS & GUARANTEES ,Government of Canada,"6,349,000","3.75% due June 01, 2019","7,076,634","6,892,139"
49,FEDERAL BONDS & GUARANTEES ,Government of Canada,"4,010,000","3.50% due June 01, 2020","4,445,152","4,313,812"
50,FEDERAL BONDS & GUARANTEES ,Government of Canada,"3,399,000","3.25% due June 01, 2021","3,737,962","3,589,276"
51,FEDERAL BONDS & GUARANTEES ,Government of Canada,"290,000","9.75% due June 01, 2021","479,851","434,559"
52,FEDERAL BONDS & GUARANTEES ,Government of Canada,"3,853,000","2.75% due June 01, 2022","4,160,504","3,879,355"
53,FEDERAL BONDS & GUARANTEES ,Government of Canada,"4,814,000","1.50% due June 01, 2023","4,407,651","4,309,669"
54,FEDERAL BONDS & GUARANTEES ,Government of Canada,"700,800","8.00% due June 01, 2023","1,004,192","1,008,754"
55,FEDERAL BONDS & GUARANTEES ,Government of Canada,"3,212,000","2.50% due June 01, 2024","3,141,085","3,102,750"
56,FEDERAL BONDS & GUARANTEES ,Government of Canada,"740,000","9.00% due June 01, 2025","1,207,663","1,182,608"
57,FEDERAL BONDS & GUARANTEES ,Government of Canada,"978,000","8.00% due June 01, 2027","1,626,624","1,518,220"
58,FEDERAL BONDS & GUARANTEES ,Government of Canada,"3,605,000","5.75% due June 01, 2029","4,872,486","4,790,737"
59,FEDERAL BONDS & GUARANTEES ,Government of Canada,"4,387,000","5.75% due June 01, 2033","5,817,607","6,020,659"
60,FEDERAL BONDS & GUARANTEES ,Government of Canada,"5,020,000","5.00% due June 01, 2037","6,663,807","6,490,765"
61,FEDERAL BONDS & GUARANTEES ,Government of Canada,"6,117,000","4.00% due June 01, 2041","7,339,818","6,958,203"
62,FEDERAL BONDS & GUARANTEES ,Government of Canada,"3,550,000","3.50% due December 01, 2045","4,336,429","3,727,790"
63,FEDERAL BONDS & GUARANTEES ,PSP Capital Inc.,"99,000","2.94% due December 03, 2015","98,958","101,612"
64,FEDERAL BONDS & GUARANTEES ,PSP Capital Inc.,"117,000","2.26% due February 16, 2017","116,967","118,485"
65,FEDERAL BONDS & GUARANTEES ,PSP Capital Inc.,"43,000","3.03% due October 22, 2020","42,984","43,076"
66,FEDERAL BONDS & GUARANTEES ,Royal Office Finance LP,"637,163","5.209% due November 12, 2032","637,156","706,998"
67,PROVINCIAL BONDS & GUARANTEES ,Alberta Capital Finance Authority,"221,000","4.90% due June 01, 2015","235,619","232,538"
68,PROVINCIAL BONDS & GUARANTEES ,Alberta Capital Finance Authority,"288,000","3.05% due June 15, 2015","287,338","295,902"
69,PROVINCIAL BONDS & GUARANTEES ,Alberta Capital Finance Authority,"56,000","4.35% due June 15, 2016","55,323","60,065"
70,PROVINCIAL BONDS & GUARANTEES ,Alberta Capital Finance Authority,"157,000","4.65% due June 15, 2017","158,078","172,272"
71,PROVINCIAL BONDS & GUARANTEES ,Alberta Capital Finance Authority,"200,000","4.45% due December 15, 2025","191,038","213,283"
72,PROVINCIAL BONDS & GUARANTEES ,Financement-Quebec,"358,000","4.25% due December 01, 2015","361,118","378,088"
73,PROVINCIAL BONDS & GUARANTEES ,Financement-Quebec,"355,000","6.25% due December 01, 2015","410,456","388,171"
74,PROVINCIAL BONDS & GUARANTEES ,Financement-Quebec,"660,000","3.50% due December 01, 2016","660,458","696,406"
75,PROVINCIAL BONDS & GUARANTEES ,Financement-Quebec,"734,000","3.50% due December 01, 2017","742,152","773,288"
76,PROVINCIAL BONDS & GUARANTEES ,Financement-Quebec,"660,000","2.40% due December 01, 2018","656,175","658,296"
77,PROVINCIAL BONDS & GUARANTEES ,Financement-Quebec,"858,000","2.45% due December 01, 2019","857,221","844,788"
78,PROVINCIAL BONDS & GUARANTEES ,Financement-Quebec,"654,000","5.25% due June 01, 2034","684,702","736,867"
79,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,"167,000","2.95% due September 11, 2015","166,636","170,996"
80,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,"191,000","4.64% due March 03, 2016","189,506","202,827"
81,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,"257,000","5.18% due October 18, 2017","276,955","283,240"
82,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,"126,000","2.78% due October 09, 2018","125,994","126,511"
83,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,"116,000","4.40% due June 01, 2020","116,183","125,030"
84,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,"216,000","3.20% due January 13, 2022","217,881","212,641"
85,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,"250,000","7.35% due June 03, 2030","347,625","330,306"
86,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,"250,000","6.93% due June 01, 2032","319,384","323,132"
87,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,"291,000","6.35% due January 31, 2034","394,560","357,720"
88,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,"350,000","5.36% due May 20, 2036","353,880","386,457"
89,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,"137,000","4.89% due March 13, 2037","137,003","142,796"
90,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,"41,000","6.03% due March 03, 2039","40,972","49,754"
91,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,"255,000","5.49% due July 16, 2040","311,659","289,673"
92,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,"53,000","4.39% due September 26, 2041","52,948","51,344"
93,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,"48,000","Callable 4.59% due October 09, 2043","47,992","47,962"
94,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,"35,000","5.00% due October 19, 2046","35,268","37,095"
95,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,"104,000","4.00% due December 22, 2051","104,018","92,047"
96,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,"124,000","3.79% due July 31, 2062","123,639","103,003"
97,PROVINCIAL BONDS & GUARANTEES ,Hydro-Quebec,"410,000","11.00% due August 15, 2020","679,457","608,510"
98,PROVINCIAL BONDS & GUARANTEES ,Hydro-Quebec,"300,000","6.00% due August 15, 2031","352,689","367,636"
99,PROVINCIAL BONDS & GUARANTEES ,Hydro-Quebec,"450,000","6.50% due January 16, 2035","556,731","586,620"
100,PROVINCIAL BONDS & GUARANTEES ,Hydro-Quebec,"281,000","6.50% due February 15, 2035","355,808","368,857"
101,PROVINCIAL BONDS & GUARANTEES ,Hydro-Quebec,"282,000","6.00% due February 15, 2040","336,684","358,079"
102,PROVINCIAL BONDS & GUARANTEES ,Hydro-Quebec,"590,000","5.00% due February 15, 2045","603,488","664,368"
103,PROVINCIAL BONDS & GUARANTEES ,Hydro-Quebec,"1,451,000","5.00% due February 15, 2050","1,685,734","1,656,823"
104,PROVINCIAL BONDS & GUARANTEES ,Labrador Island Link Funding Trust,"200,000","3.76% due June 01, 2033","203,694","202,224"
105,PROVINCIAL BONDS & GUARANTEES ,Labrador Island Link Funding Trust,"178,000","3.86% due December 01, 2045","182,000","180,745"
106,PROVINCIAL BONDS & GUARANTEES ,Labrador Island Link Funding Trust,"416,000","3.85% due December 01, 2053","422,935","420,863"
107,PROVINCIAL BONDS & GUARANTEES ,Muskrat Falls/Labrador Transmission Assets Funding Trust,"163,000","3.63% due June 01, 2029","165,769","164,543"
108,PROVINCIAL BONDS & GUARANTEES ,Muskrat Falls/Labrador Transmission Assets Funding Trust,"215,000","3.83% due June 01, 2037","219,395","218,280"
109,PROVINCIAL BONDS & GUARANTEES ,Muskrat Falls/Labrador Transmission Assets Funding Trust,"425,000","3.86% due December 01, 2048","434,155","431,092"
110,PROVINCIAL BONDS & GUARANTEES ,Newfoundland and Labrador Hydro,"56,000","4.30% due October 13, 2016","55,874","60,281"
111,PROVINCIAL BONDS & GUARANTEES ,Newfoundland and Labrador Hydro,"50,000","10.25% due July 14, 2017","77,117","64,183"
112,PROVINCIAL BONDS & GUARANTEES ,Newfoundland and Labrador Hydro,"100,000","8.40% due February 27, 2026","148,291","143,937"
113,PROVINCIAL BONDS & GUARANTEES ,Newfoundland and Labrador Hydro,"163,000","6.65% due August 27, 2031","209,932","215,703"
114,PROVINCIAL BONDS & GUARANTEES ,Newfoundland and Labrador Hydro,"195,000","5.70% due July 14, 2033","224,076","235,318"
115,PROVINCIAL BONDS & GUARANTEES ,Ontario Electricity Financial Corporation,"150,000","11.00% due October 01, 2020","256,809","223,617"
116,PROVINCIAL BONDS & GUARANTEES ,Ontario Electricity Financial Corporation,"147,000","10.125% due October 15, 2021","241,248","216,862"
117,PROVINCIAL BONDS & GUARANTEES ,Ontario Electricity Financial Corporation,"400,000","8.90% due August 18, 2022","606,106","561,007"
118,PROVINCIAL BONDS & GUARANTEES ,Ontario Electricity Financial Corporation,"55,000","8.50% due May 26, 2025","82,519","78,646"
119,PROVINCIAL BONDS & GUARANTEES ,Ontario Electricity Financial Corporation,"125,000","9.00% due May 26, 2025","195,779","184,427"
120,PROVINCIAL BONDS & GUARANTEES ,Ontario Electricity Financial Corporation,"100,000","8.25% due June 22, 2026","146,861","143,111"
121,PROVINCIAL BONDS & GUARANTEES ,Ontario Infrastructure Projects Corporation,"257,000","4.70% due June 01, 2037","257,342","260,524"
122,PROVINCIAL BONDS & GUARANTEES ,Ontario School Boards Financing Corporation,"375,000","6.25% due October 19, 2016","431,650","421,126"
123,PROVINCIAL BONDS & GUARANTEES ,Ontario School Boards Financing Corporation,"124,736","7.20% due June 09, 2025","162,568","150,281"
124,PROVINCIAL BONDS & GUARANTEES ,Ontario School Boards Financing Corporation,"387,872","6.55% due October 19, 2026","482,599","454,657"
125,PROVINCIAL BONDS & GUARANTEES ,Ontario School Boards Financing Corporation,"89,706","5.90% due October 11, 2027","104,512","101,327"
126,PROVINCIAL BONDS & GUARANTEES ,Ontario School Boards Financing Corporation,"430,648","5.80% due November 07, 2028","494,710","480,674"
127,PROVINCIAL BONDS & GUARANTEES ,Ontario School Boards Financing Corporation,"406,221","5.483% due November 26, 2029","447,795","445,630"
128,PROVINCIAL BONDS & GUARANTEES ,Ontario School Boards Financing Corporation,"146,601","4.789% due August 08, 2030","148,700","151,654"
129,PROVINCIAL BONDS & GUARANTEES ,Ontario School Boards Financing Corporation,"144,683","5.07% due April 18, 2031","144,683","151,799"
130,PROVINCIAL BONDS & GUARANTEES ,Ontario School Boards Financing Corporation,"212,793","5.376% due June 25, 2032","212,794","227,798"
131,PROVINCIAL BONDS & GUARANTEES ,Ontario Strategic Infrastructure Financing Authority,"283,000","4.60% due June 01, 2015","291,777","295,447"
132,PROVINCIAL BONDS & GUARANTEES ,OPB Finance Trust,"70,000","2.90% due May 24, 2023","69,952","65,171"
133,PROVINCIAL BONDS & GUARANTEES ,OPB Finance Trust,"53,000","3.89% due July 04, 2042","52,963","47,006"
134,PROVINCIAL BONDS & GUARANTEES ,Province of Alberta,"183,000","1.85% due September 01, 2016","182,755","185,370"
135,PROVINCIAL BONDS & GUARANTEES ,Province of Alberta,"49,636","5.93% due September 16, 2016","65,308","52,927"
136,PROVINCIAL BONDS & GUARANTEES ,Province of Alberta,"568,000","1.75% due June 15, 2017","567,782","569,386"
137,PROVINCIAL BONDS & GUARANTEES ,Province of Alberta,"539,000","1.70% due December 15, 2017","535,702","533,859"
138,PROVINCIAL BONDS & GUARANTEES ,Province of Alberta,"578,000","1.60% due June 15, 2018","565,203","564,948"
139,PROVINCIAL BONDS & GUARANTEES ,Province of Alberta,"520,000","4.00% due December 01, 2019","559,567","562,065"
140,PROVINCIAL BONDS & GUARANTEES ,Province of Alberta,"725,000","2.55% due December 15, 2022","718,703","684,369"
141,PROVINCIAL BONDS & GUARANTEES ,Province of Alberta,"175,000","3.40% due December 01, 2023","174,424","174,447"
142,PROVINCIAL BONDS & GUARANTEES ,Province of Alberta,"538,000","2.90% due September 20, 2029","505,021","479,393"
143,PROVINCIAL BONDS & GUARANTEES ,Province of Alberta,"269,000","3.90% due December 01, 2033","266,200","266,431"
144,PROVINCIAL BONDS & GUARANTEES ,Province of Alberta,"152,000","4.50% due December 01, 2040","150,655","163,848"
145,PROVINCIAL BONDS & GUARANTEES ,Province of Alberta,"420,000","3.45% due December 01, 2043","403,714","379,002"
146,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,"79,000","4.70% due December 01, 2017","78,714","87,198"
147,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,"217,000","5.60% due June 01, 2018","244,513","248,211"
148,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,"575,000","4.65% due December 18, 2018","590,999","638,768"
149,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,"421,000","2.25% due March 01, 2019","421,364","419,252"
150,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,"293,000","5.30% due June 17, 2019","321,994","334,737"
151,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,"392,000","4.10% due December 18, 2019","389,108","425,966"
152,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,"200,000","10.60% due September 05, 2020","316,140","294,215"
153,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,"587,000","3.70% due December 18, 2020","584,961","621,187"
154,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,"210,000","9.95% due May 15, 2021","333,066","306,331"
155,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,"83,000","4.80% due June 15, 2021","83,194","92,637"
156,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,"558,000","3.25% due December 18, 2021","562,473","565,809"
157,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,"120,000","8.75% due August 19, 2022","180,845","168,232"
158,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,"299,000","2.70% due December 18, 2022","298,510","285,670"
159,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,"180,000","8.00% due September 08, 2023","257,922","247,320"
160,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,"338,000","3.30% due December 18, 2023","333,883","333,896"
161,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,"300,000","6.15% due November 19, 2027","355,500","376,852"
162,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,"78,000","5.62% due August 17, 2028","87,839","93,092"
163,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,"1,005,000","5.70% due June 18, 2029","1,303,012","1,223,611"
164,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,"507,000","6.35% due June 18, 2031","693,544","661,927"
165,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,"97,000","5.40% due June 18, 2035","110,523","116,820"
166,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,"536,000","4.70% due June 18, 2037","586,377","593,065"
167,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,"776,000","4.95% due June 18, 2040","796,300","893,467"
168,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,"1,102,000","4.30% due June 18, 2042","1,149,536","1,156,330"
169,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,"905,000","3.20% due June 18, 2044","814,596","778,179"
170,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,"161,000","5.20% due December 03, 2015","173,787","173,045"
171,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,"120,000","4.30% due March 01, 2016","119,300","127,736"
172,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,"60,000","2.05% due December 01, 2016","60,075","61,022"
173,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,"239,000","1.85% due June 01, 2017","238,711","240,318"
174,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,"162,000","4.70% due September 22, 2017","161,357","178,082"
175,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,"100,000","6.50% due September 22, 2017","120,697","116,313"
176,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,"265,000","4.25% due March 05, 2018","263,890","287,733"
177,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,"178,000","1.85% due September 05, 2018","177,751","174,839"
178,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,"143,000","5.50% due November 15, 2018","157,536","163,768"
179,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,"164,000","4.75% due February 11, 2020","161,199","182,954"
180,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,"308,000","4.15% due June 03, 2020","315,356","333,303"
181,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,"232,000","3.85% due December 01, 2021","244,253","243,563"
182,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,"548,000","2.55% due June 02, 2023","518,706","507,857"
183,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,"208,000","4.40% due September 05, 2025","208,557","220,648"
184,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,"85,000","7.75% due December 22, 2025","120,897","117,406"
185,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,"28,000","3.25% due September 05, 2029","26,368","25,786"
186,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,"509,000","10.50% due March 05, 2031","960,586","916,668"
187,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,"272,000","5.70% due March 05, 2037","368,126","337,090"
188,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,"317,000","4.60% due March 05, 2038","354,755","341,315"
189,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,"95,000","4.65% due March 05, 2040","90,811","103,103"
190,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,"388,000","4.10% due March 05, 2041","371,657","387,253"
191,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,"152,000","4.40% due March 05, 2042","151,602","159,332"
192,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,"183,000","3.35% due March 05, 2043","166,890","159,747"
193,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,"119,000","4.05% due September 05, 2045","118,876","118,116"
194,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,"77,000","4.70% due March 05, 2050","77,176","85,795"
195,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,"68,000","4.50% due February 04, 2015","69,842","70,490"
196,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,"100,000","8.75% due May 12, 2015","135,854","110,096"
197,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,"110,000","4.30% due December 03, 2015","110,368","116,294"
198,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,"196,000","4.70% due July 21, 2016","207,862","212,099"
199,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,"180,000","6.75% due June 27, 2017","219,652","209,479"
200,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,"120,000","6.00% due December 27, 2017","138,703","137,785"
201,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,"290,000","4.45% due March 26, 2018","286,672","316,697"
202,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,"183,000","4.40% due June 03, 2019","182,989","200,029"
203,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,"524,000","4.50% due June 02, 2020","574,786","575,440"
204,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,"292,000","3.35% due December 03, 2021","296,413","294,620"
205,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,"215,000","2.85% due June 02, 2023","213,707","202,812"
206,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,"125,000","3.65% due June 03, 2024","124,838","124,340"
207,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,"130,000","5.65% due December 27, 2028","148,966","153,603"
208,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,"613,000","5.50% due January 27, 2034","724,524","720,121"
209,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,"120,000","4.65% due September 26, 2035","121,384","127,450"
210,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,"260,000","4.55% due March 26, 2037","249,700","272,073"
211,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,"364,000","4.80% due September 26, 2039","360,920","394,701"
212,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,"268,000","4.80% due June 03, 2041","272,830","291,555"
213,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,"366,000","3.55% due June 03, 2043","352,444","323,282"
214,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,"119,000","3.55% due June 03, 2055","121,080","102,337"
215,PROVINCIAL BONDS & GUARANTEES ,Province of Newfoundland and Labrador,"100,000","8.45% due February 05, 2026","148,857","144,717"
216,PROVINCIAL BONDS & GUARANTEES ,Province of Newfoundland and Labrador,"150,000","6.15% due April 17, 2028","179,814","186,439"
217,PROVINCIAL BONDS & GUARANTEES ,Province of Newfoundland and Labrador,"150,000","6.50% due October 17, 2029","188,281","194,413"
218,PROVINCIAL BONDS & GUARANTEES ,Province of Newfoundland and Labrador,"100,000","6.55% due October 17, 2030","126,805","130,764"
219,PROVINCIAL BONDS & GUARANTEES ,Province of Newfoundland and Labrador,"118,000","5.60% due October 17, 2033","133,860","141,554"
220,PROVINCIAL BONDS & GUARANTEES ,Province of Newfoundland and Labrador,"98,000","5.70% due October 17, 2035","113,162","119,949"
221,PROVINCIAL BONDS & GUARANTEES ,Province of Newfoundland and Labrador,"33,000","4.50% due April 17, 2037","32,796","34,679"
