,meta_cat,organization,n_units,description,cost,fair_value
21,FEDERAL BONDS & GUARANTEES ,Canada Mortgage and Housing Corporation,796000,"4.25% due February 01, 2016",831787,844004
22,FEDERAL BONDS & GUARANTEES ,Canada Mortgage and Housing Corporation,391000,"4.35% due February 01, 2017",390288,424002
23,FEDERAL BONDS & GUARANTEES ,Canada Post Corporation,241000,"4.08% due July 16, 2025",242419,256255
24,FEDERAL BONDS & GUARANTEES ,Canada Post Corporation,149000,"4.36% due July 16, 2040",149036,162873
25,FEDERAL BONDS & GUARANTEES ,CBC Monetization Trust,33545,"4.688% due May 15, 2027",33545,36554
26,FEDERAL BONDS & GUARANTEES ,Export Development Canada,593000,"4.30% due June 01, 2016",602097,634583
27,FEDERAL BONDS & GUARANTEES ,Government of Canada,5062000,"1.00% due February 01, 2015",5055830,5062018
28,FEDERAL BONDS & GUARANTEES ,Government of Canada,3550000,"1.00% due May 01, 2015",3551277,3548960
29,FEDERAL BONDS & GUARANTEES ,Government of Canada,3278000,"2.50% due June 01, 2015",3373641,3344898
30,FEDERAL BONDS & GUARANTEES ,Government of Canada,2576000,"4.50% due June 01, 2015",2789266,2700489
31,FEDERAL BONDS & GUARANTEES ,Government of Canada,405000,"11.25% due June 01, 2015",643146,462742
32,FEDERAL BONDS & GUARANTEES ,Government of Canada,5482000,"1.50% due August 01, 2015",5524936,5518356
33,FEDERAL BONDS & GUARANTEES ,Government of Canada,2325000,"1.00% due November 01, 2015",2312695,2320428
34,FEDERAL BONDS & GUARANTEES ,Government of Canada,5641000,"3.00% due December 01, 2015",5858308,5840536
35,FEDERAL BONDS & GUARANTEES ,Government of Canada,5100000,"1.25% due February 01, 2016",5105272,5111985
36,FEDERAL BONDS & GUARANTEES ,Government of Canada,4078000,"2.00% due June 01, 2016",4060719,4160421
37,FEDERAL BONDS & GUARANTEES ,Government of Canada,3138000,"4.00% due June 01, 2016",3344688,3350312
38,FEDERAL BONDS & GUARANTEES ,Government of Canada,3360000,"1.00% due August 01, 2016",3327118,3342254
39,FEDERAL BONDS & GUARANTEES ,Government of Canada,2331000,"2.75% due September 01, 2016",2456282,2422713
40,FEDERAL BONDS & GUARANTEES ,Government of Canada,1150000,"1.50% due February 01, 2017",1156314,1153903
41,FEDERAL BONDS & GUARANTEES ,Government of Canada,2682000,"1.50% due March 01, 2017",2708411,2692118
42,FEDERAL BONDS & GUARANTEES ,Government of Canada,3875000,"4.00% due June 01, 2017",4352539,4199493
43,FEDERAL BONDS & GUARANTEES ,Government of Canada,4231000,"1.50% due September 01, 2017",4235805,4209202
44,FEDERAL BONDS & GUARANTEES ,Government of Canada,3195000,"1.25% due March 01, 2018",3132188,3123778
45,FEDERAL BONDS & GUARANTEES ,Government of Canada,1258000,"4.25% due June 01, 2018",1416070,1386545
46,FEDERAL BONDS & GUARANTEES ,Government of Canada,2948000,"1.25% due September 01, 2018",2875172,2856140
47,FEDERAL BONDS & GUARANTEES ,Government of Canada,400000,"1.75% due March 01, 2019",396764,393831
48,FEDERAL BONDS & GUARANTEES ,Government of Canada,6349000,"3.75% due June 01, 2019",7076634,6892139
49,FEDERAL BONDS & GUARANTEES ,Government of Canada,4010000,"3.50% due June 01, 2020",4445152,4313812
50,FEDERAL BONDS & GUARANTEES ,Government of Canada,3399000,"3.25% due June 01, 2021",3737962,3589276
51,FEDERAL BONDS & GUARANTEES ,Government of Canada,290000,"9.75% due June 01, 2021",479851,434559
52,FEDERAL BONDS & GUARANTEES ,Government of Canada,3853000,"2.75% due June 01, 2022",4160504,3879355
53,FEDERAL BONDS & GUARANTEES ,Government of Canada,4814000,"1.50% due June 01, 2023",4407651,4309669
54,FEDERAL BONDS & GUARANTEES ,Government of Canada,700800,"8.00% due June 01, 2023",1004192,1008754
55,FEDERAL BONDS & GUARANTEES ,Government of Canada,3212000,"2.50% due June 01, 2024",3141085,3102750
56,FEDERAL BONDS & GUARANTEES ,Government of Canada,740000,"9.00% due June 01, 2025",1207663,1182608
57,FEDERAL BONDS & GUARANTEES ,Government of Canada,978000,"8.00% due June 01, 2027",1626624,1518220
58,FEDERAL BONDS & GUARANTEES ,Government of Canada,3605000,"5.75% due June 01, 2029",4872486,4790737
59,FEDERAL BONDS & GUARANTEES ,Government of Canada,4387000,"5.75% due June 01, 2033",5817607,6020659
60,FEDERAL BONDS & GUARANTEES ,Government of Canada,5020000,"5.00% due June 01, 2037",6663807,6490765
61,FEDERAL BONDS & GUARANTEES ,Government of Canada,6117000,"4.00% due June 01, 2041",7339818,6958203
62,FEDERAL BONDS & GUARANTEES ,Government of Canada,3550000,"3.50% due December 01, 2045",4336429,3727790
63,FEDERAL BONDS & GUARANTEES ,PSP Capital Inc.,99000,"2.94% due December 03, 2015",98958,101612
64,FEDERAL BONDS & GUARANTEES ,PSP Capital Inc.,117000,"2.26% due February 16, 2017",116967,118485
65,FEDERAL BONDS & GUARANTEES ,PSP Capital Inc.,43000,"3.03% due October 22, 2020",42984,43076
66,FEDERAL BONDS & GUARANTEES ,Royal Office Finance LP,637163,"5.209% due November 12, 2032",637156,706998
67,PROVINCIAL BONDS & GUARANTEES ,Alberta Capital Finance Authority,221000,"4.90% due June 01, 2015",235619,232538
68,PROVINCIAL BONDS & GUARANTEES ,Alberta Capital Finance Authority,288000,"3.05% due June 15, 2015",287338,295902
69,PROVINCIAL BONDS & GUARANTEES ,Alberta Capital Finance Authority,56000,"4.35% due June 15, 2016",55323,60065
70,PROVINCIAL BONDS & GUARANTEES ,Alberta Capital Finance Authority,157000,"4.65% due June 15, 2017",158078,172272
71,PROVINCIAL BONDS & GUARANTEES ,Alberta Capital Finance Authority,200000,"4.45% due December 15, 2025",191038,213283
72,PROVINCIAL BONDS & GUARANTEES ,Financement-Quebec,358000,"4.25% due December 01, 2015",361118,378088
73,PROVINCIAL BONDS & GUARANTEES ,Financement-Quebec,355000,"6.25% due December 01, 2015",410456,388171
74,PROVINCIAL BONDS & GUARANTEES ,Financement-Quebec,660000,"3.50% due December 01, 2016",660458,696406
75,PROVINCIAL BONDS & GUARANTEES ,Financement-Quebec,734000,"3.50% due December 01, 2017",742152,773288
76,PROVINCIAL BONDS & GUARANTEES ,Financement-Quebec,660000,"2.40% due December 01, 2018",656175,658296
77,PROVINCIAL BONDS & GUARANTEES ,Financement-Quebec,858000,"2.45% due December 01, 2019",857221,844788
78,PROVINCIAL BONDS & GUARANTEES ,Financement-Quebec,654000,"5.25% due June 01, 2034",684702,736867
79,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,167000,"2.95% due September 11, 2015",166636,170996
80,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,191000,"4.64% due March 03, 2016",189506,202827
81,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,257000,"5.18% due October 18, 2017",276955,283240
82,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,126000,"2.78% due October 09, 2018",125994,126511
83,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,116000,"4.40% due June 01, 2020",116183,125030
84,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,216000,"3.20% due January 13, 2022",217881,212641
85,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,250000,"7.35% due June 03, 2030",347625,330306
86,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,250000,"6.93% due June 01, 2032",319384,323132
87,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,291000,"6.35% due January 31, 2034",394560,357720
88,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,350000,"5.36% due May 20, 2036",353880,386457
89,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,137000,"4.89% due March 13, 2037",137003,142796
90,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,41000,"6.03% due March 03, 2039",40972,49754
91,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,255000,"5.49% due July 16, 2040",311659,289673
92,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,53000,"4.39% due September 26, 2041",52948,51344
93,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,48000,"Callable 4.59% due October 09, 2043",47992,47962
94,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,35000,"5.00% due October 19, 2046",35268,37095
95,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,104000,"4.00% due December 22, 2051",104018,92047
96,PROVINCIAL BONDS & GUARANTEES ,Hydro One Inc.,124000,"3.79% due July 31, 2062",123639,103003
97,PROVINCIAL BONDS & GUARANTEES ,Hydro-Quebec,410000,"11.00% due August 15, 2020",679457,608510
98,PROVINCIAL BONDS & GUARANTEES ,Hydro-Quebec,300000,"6.00% due August 15, 2031",352689,367636
99,PROVINCIAL BONDS & GUARANTEES ,Hydro-Quebec,450000,"6.50% due January 16, 2035",556731,586620
100,PROVINCIAL BONDS & GUARANTEES ,Hydro-Quebec,281000,"6.50% due February 15, 2035",355808,368857
101,PROVINCIAL BONDS & GUARANTEES ,Hydro-Quebec,282000,"6.00% due February 15, 2040",336684,358079
102,PROVINCIAL BONDS & GUARANTEES ,Hydro-Quebec,590000,"5.00% due February 15, 2045",603488,664368
103,PROVINCIAL BONDS & GUARANTEES ,Hydro-Quebec,1451000,"5.00% due February 15, 2050",1685734,1656823
104,PROVINCIAL BONDS & GUARANTEES ,Labrador Island Link Funding Trust,200000,"3.76% due June 01, 2033",203694,202224
105,PROVINCIAL BONDS & GUARANTEES ,Labrador Island Link Funding Trust,178000,"3.86% due December 01, 2045",182000,180745
106,PROVINCIAL BONDS & GUARANTEES ,Labrador Island Link Funding Trust,416000,"3.85% due December 01, 2053",422935,420863
107,PROVINCIAL BONDS & GUARANTEES ,Muskrat Falls/Labrador Transmission Assets Funding Trust,163000,"3.63% due June 01, 2029",165769,164543
108,PROVINCIAL BONDS & GUARANTEES ,Muskrat Falls/Labrador Transmission Assets Funding Trust,215000,"3.83% due June 01, 2037",219395,218280
109,PROVINCIAL BONDS & GUARANTEES ,Muskrat Falls/Labrador Transmission Assets Funding Trust,425000,"3.86% due December 01, 2048",434155,431092
110,PROVINCIAL BONDS & GUARANTEES ,Newfoundland and Labrador Hydro,56000,"4.30% due October 13, 2016",55874,60281
111,PROVINCIAL BONDS & GUARANTEES ,Newfoundland and Labrador Hydro,50000,"10.25% due July 14, 2017",77117,64183
112,PROVINCIAL BONDS & GUARANTEES ,Newfoundland and Labrador Hydro,100000,"8.40% due February 27, 2026",148291,143937
113,PROVINCIAL BONDS & GUARANTEES ,Newfoundland and Labrador Hydro,163000,"6.65% due August 27, 2031",209932,215703
114,PROVINCIAL BONDS & GUARANTEES ,Newfoundland and Labrador Hydro,195000,"5.70% due July 14, 2033",224076,235318
115,PROVINCIAL BONDS & GUARANTEES ,Ontario Electricity Financial Corporation,150000,"11.00% due October 01, 2020",256809,223617
116,PROVINCIAL BONDS & GUARANTEES ,Ontario Electricity Financial Corporation,147000,"10.125% due October 15, 2021",241248,216862
117,PROVINCIAL BONDS & GUARANTEES ,Ontario Electricity Financial Corporation,400000,"8.90% due August 18, 2022",606106,561007
118,PROVINCIAL BONDS & GUARANTEES ,Ontario Electricity Financial Corporation,55000,"8.50% due May 26, 2025",82519,78646
119,PROVINCIAL BONDS & GUARANTEES ,Ontario Electricity Financial Corporation,125000,"9.00% due May 26, 2025",195779,184427
120,PROVINCIAL BONDS & GUARANTEES ,Ontario Electricity Financial Corporation,100000,"8.25% due June 22, 2026",146861,143111
121,PROVINCIAL BONDS & GUARANTEES ,Ontario Infrastructure Projects Corporation,257000,"4.70% due June 01, 2037",257342,260524
122,PROVINCIAL BONDS & GUARANTEES ,Ontario School Boards Financing Corporation,375000,"6.25% due October 19, 2016",431650,421126
123,PROVINCIAL BONDS & GUARANTEES ,Ontario School Boards Financing Corporation,124736,"7.20% due June 09, 2025",162568,150281
124,PROVINCIAL BONDS & GUARANTEES ,Ontario School Boards Financing Corporation,387872,"6.55% due October 19, 2026",482599,454657
125,PROVINCIAL BONDS & GUARANTEES ,Ontario School Boards Financing Corporation,89706,"5.90% due October 11, 2027",104512,101327
126,PROVINCIAL BONDS & GUARANTEES ,Ontario School Boards Financing Corporation,430648,"5.80% due November 07, 2028",494710,480674
127,PROVINCIAL BONDS & GUARANTEES ,Ontario School Boards Financing Corporation,406221,"5.483% due November 26, 2029",447795,445630
128,PROVINCIAL BONDS & GUARANTEES ,Ontario School Boards Financing Corporation,146601,"4.789% due August 08, 2030",148700,151654
129,PROVINCIAL BONDS & GUARANTEES ,Ontario School Boards Financing Corporation,144683,"5.07% due April 18, 2031",144683,151799
130,PROVINCIAL BONDS & GUARANTEES ,Ontario School Boards Financing Corporation,212793,"5.376% due June 25, 2032",212794,227798
131,PROVINCIAL BONDS & GUARANTEES ,Ontario Strategic Infrastructure Financing Authority,283000,"4.60% due June 01, 2015",291777,295447
132,PROVINCIAL BONDS & GUARANTEES ,OPB Finance Trust,70000,"2.90% due May 24, 2023",69952,65171
133,PROVINCIAL BONDS & GUARANTEES ,OPB Finance Trust,53000,"3.89% due July 04, 2042",52963,47006
134,PROVINCIAL BONDS & GUARANTEES ,Province of Alberta,183000,"1.85% due September 01, 2016",182755,185370
135,PROVINCIAL BONDS & GUARANTEES ,Province of Alberta,49636,"5.93% due September 16, 2016",65308,52927
136,PROVINCIAL BONDS & GUARANTEES ,Province of Alberta,568000,"1.75% due June 15, 2017",567782,569386
137,PROVINCIAL BONDS & GUARANTEES ,Province of Alberta,539000,"1.70% due December 15, 2017",535702,533859
138,PROVINCIAL BONDS & GUARANTEES ,Province of Alberta,578000,"1.60% due June 15, 2018",565203,564948
139,PROVINCIAL BONDS & GUARANTEES ,Province of Alberta,520000,"4.00% due December 01, 2019",559567,562065
140,PROVINCIAL BONDS & GUARANTEES ,Province of Alberta,725000,"2.55% due December 15, 2022",718703,684369
141,PROVINCIAL BONDS & GUARANTEES ,Province of Alberta,175000,"3.40% due December 01, 2023",174424,174447
142,PROVINCIAL BONDS & GUARANTEES ,Province of Alberta,538000,"2.90% due September 20, 2029",505021,479393
143,PROVINCIAL BONDS & GUARANTEES ,Province of Alberta,269000,"3.90% due December 01, 2033",266200,266431
144,PROVINCIAL BONDS & GUARANTEES ,Province of Alberta,152000,"4.50% due December 01, 2040",150655,163848
145,PROVINCIAL BONDS & GUARANTEES ,Province of Alberta,420000,"3.45% due December 01, 2043",403714,379002
146,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,79000,"4.70% due December 01, 2017",78714,87198
147,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,217000,"5.60% due June 01, 2018",244513,248211
148,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,575000,"4.65% due December 18, 2018",590999,638768
149,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,421000,"2.25% due March 01, 2019",421364,419252
150,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,293000,"5.30% due June 17, 2019",321994,334737
151,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,392000,"4.10% due December 18, 2019",389108,425966
152,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,200000,"10.60% due September 05, 2020",316140,294215
153,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,587000,"3.70% due December 18, 2020",584961,621187
154,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,210000,"9.95% due May 15, 2021",333066,306331
155,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,83000,"4.80% due June 15, 2021",83194,92637
156,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,558000,"3.25% due December 18, 2021",562473,565809
157,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,120000,"8.75% due August 19, 2022",180845,168232
158,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,299000,"2.70% due December 18, 2022",298510,285670
159,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,180000,"8.00% due September 08, 2023",257922,247320
160,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,338000,"3.30% due December 18, 2023",333883,333896
161,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,300000,"6.15% due November 19, 2027",355500,376852
162,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,78000,"5.62% due August 17, 2028",87839,93092
163,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,1005000,"5.70% due June 18, 2029",1303012,1223611
164,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,507000,"6.35% due June 18, 2031",693544,661927
165,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,97000,"5.40% due June 18, 2035",110523,116820
166,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,536000,"4.70% due June 18, 2037",586377,593065
167,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,776000,"4.95% due June 18, 2040",796300,893467
168,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,1102000,"4.30% due June 18, 2042",1149536,1156330
169,PROVINCIAL BONDS & GUARANTEES ,Province of British Columbia,905000,"3.20% due June 18, 2044",814596,778179
170,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,161000,"5.20% due December 03, 2015",173787,173045
171,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,120000,"4.30% due March 01, 2016",119300,127736
172,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,60000,"2.05% due December 01, 2016",60075,61022
173,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,239000,"1.85% due June 01, 2017",238711,240318
174,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,162000,"4.70% due September 22, 2017",161357,178082
175,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,100000,"6.50% due September 22, 2017",120697,116313
176,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,265000,"4.25% due March 05, 2018",263890,287733
177,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,178000,"1.85% due September 05, 2018",177751,174839
178,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,143000,"5.50% due November 15, 2018",157536,163768
179,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,164000,"4.75% due February 11, 2020",161199,182954
180,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,308000,"4.15% due June 03, 2020",315356,333303
181,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,232000,"3.85% due December 01, 2021",244253,243563
182,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,548000,"2.55% due June 02, 2023",518706,507857
183,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,208000,"4.40% due September 05, 2025",208557,220648
184,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,85000,"7.75% due December 22, 2025",120897,117406
185,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,28000,"3.25% due September 05, 2029",26368,25786
186,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,509000,"10.50% due March 05, 2031",960586,916668
187,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,272000,"5.70% due March 05, 2037",368126,337090
188,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,317000,"4.60% due March 05, 2038",354755,341315
189,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,95000,"4.65% due March 05, 2040",90811,103103
190,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,388000,"4.10% due March 05, 2041",371657,387253
191,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,152000,"4.40% due March 05, 2042",151602,159332
192,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,183000,"3.35% due March 05, 2043",166890,159747
193,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,119000,"4.05% due September 05, 2045",118876,118116
194,PROVINCIAL BONDS & GUARANTEES ,Province of Manitoba,77000,"4.70% due March 05, 2050",77176,85795
195,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,68000,"4.50% due February 04, 2015",69842,70490
196,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,100000,"8.75% due May 12, 2015",135854,110096
197,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,110000,"4.30% due December 03, 2015",110368,116294
198,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,196000,"4.70% due July 21, 2016",207862,212099
199,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,180000,"6.75% due June 27, 2017",219652,209479
200,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,120000,"6.00% due December 27, 2017",138703,137785
201,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,290000,"4.45% due March 26, 2018",286672,316697
202,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,183000,"4.40% due June 03, 2019",182989,200029
203,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,524000,"4.50% due June 02, 2020",574786,575440
204,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,292000,"3.35% due December 03, 2021",296413,294620
205,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,215000,"2.85% due June 02, 2023",213707,202812
206,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,125000,"3.65% due June 03, 2024",124838,124340
207,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,130000,"5.65% due December 27, 2028",148966,153603
208,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,613000,"5.50% due January 27, 2034",724524,720121
209,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,120000,"4.65% due September 26, 2035",121384,127450
210,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,260000,"4.55% due March 26, 2037",249700,272073
211,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,364000,"4.80% due September 26, 2039",360920,394701
212,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,268000,"4.80% due June 03, 2041",272830,291555
213,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,366000,"3.55% due June 03, 2043",352444,323282
214,PROVINCIAL BONDS & GUARANTEES ,Province of New Brunswick,119000,"3.55% due June 03, 2055",121080,102337
215,PROVINCIAL BONDS & GUARANTEES ,Province of Newfoundland and Labrador,100000,"8.45% due February 05, 2026",148857,144717
216,PROVINCIAL BONDS & GUARANTEES ,Province of Newfoundland and Labrador,150000,"6.15% due April 17, 2028",179814,186439
217,PROVINCIAL BONDS & GUARANTEES ,Province of Newfoundland and Labrador,150000,"6.50% due October 17, 2029",188281,194413
218,PROVINCIAL BONDS & GUARANTEES ,Province of Newfoundland and Labrador,100000,"6.55% due October 17, 2030",126805,130764
219,PROVINCIAL BONDS & GUARANTEES ,Province of Newfoundland and Labrador,118000,"5.60% due October 17, 2033",133860,141554
220,PROVINCIAL BONDS & GUARANTEES ,Province of Newfoundland and Labrador,98000,"5.70% due October 17, 2035",113162,119949
221,PROVINCIAL BONDS & GUARANTEES ,Province of Newfoundland and Labrador,33000,"4.50% due April 17, 2037",32796,34679
222,PROVINCIAL BONDS & GUARANTEES ,Province of Newfoundland and Labrador,32000,"4.65% due October 17, 2040",30820,34422
223,PROVINCIAL BONDS & GUARANTEES ,Province of Nova Scotia,48000,"4.70% due January 14, 2015",50088,49768
224,PROVINCIAL BONDS & GUARANTEES ,Province of Nova Scotia,148000,"4.60% due August 18, 2016",147133,160143
225,PROVINCIAL BONDS & GUARANTEES ,Province of Nova Scotia,196000,"4.15% due November 25, 2019",194966,212046
226,PROVINCIAL BONDS & GUARANTEES ,Province of Nova Scotia,497000,"4.10% due June 01, 2021",521387,530688
227,PROVINCIAL BONDS & GUARANTEES ,Province of Nova Scotia,58000,"4.45% due October 24, 2021",56869,62904
228,PROVINCIAL BONDS & GUARANTEES ,Province of Nova Scotia,180000,"9.60% due January 30, 2022",285448,260435
229,PROVINCIAL BONDS & GUARANTEES ,Province of Nova Scotia,275000,"6.60% due June 01, 2027",367085,353312
230,PROVINCIAL BONDS & GUARANTEES ,Province of Nova Scotia,77000,"6.60% due December 01, 2031",100039,101459
231,PROVINCIAL BONDS & GUARANTEES ,Province of Nova Scotia,105000,"5.80% due June 01, 2033",124202,128598
232,PROVINCIAL BONDS & GUARANTEES ,Province of Nova Scotia,113000,"4.90% due June 01, 2035",117947,125167
233,PROVINCIAL BONDS & GUARANTEES ,Province of Nova Scotia,292000,"4.50% due June 01, 2037",285077,306724
234,PROVINCIAL BONDS & GUARANTEES ,Province of Nova Scotia,141000,"4.70% due June 01, 2041",143177,153095
235,PROVINCIAL BONDS & GUARANTEES ,Province of Nova Scotia,340000,"4.40% due June 01, 2042",357769,353602
236,PROVINCIAL BONDS & GUARANTEES ,Province of Nova Scotia,577000,"3.50% due June 02, 2062",572398,507392
237,PROVINCIAL BONDS & GUARANTEES ,Province of Ontario,497000,"4.50% due March 08, 2015",531334,516606
238,PROVINCIAL BONDS & GUARANTEES ,Province of Ontario,800000,"3.15% due September 08, 2015",808674,825651
239,PROVINCIAL BONDS & GUARANTEES ,Province of Ontario,1753000,"4.40% due March 08, 2016",1878543,1868638
240,PROVINCIAL BONDS & GUARANTEES ,Province of Ontario,506000,"3.20% due September 08, 2016",504745,529630
